"id";"uri";"nomParlamentar";"cargo";"siglaUf";"municipio";"anoInicio";"anoFim";"siglaPartidoEleicao";"uriPartidoEleicao"
"73879";"https://dadosabertos.camara.leg.br/api/v2/deputados/73879";"MÁRIO CAVALLAZZI";"Deputado(a) Estadual";"SC";"";"1987";"1991";"PDS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36785"
"73879";"https://dadosabertos.camara.leg.br/api/v2/deputados/73879";"MÁRIO CAVALLAZZI";"Deputado(a) Estadual";"SC";"";"1991";"1995";"PRN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36822"
"73903";"https://dadosabertos.camara.leg.br/api/v2/deputados/73903";"MATHEUS SCHMIDT";"Vice-Prefeito(a)";"RS";"";"1963";"";"";""
"74183";"https://dadosabertos.camara.leg.br/api/v2/deputados/74183";"MAURI SÉRGIO";"Vereador(a)";"AC";"";"1983";"1987";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74183";"https://dadosabertos.camara.leg.br/api/v2/deputados/74183";"MAURI SÉRGIO";"Deputado(a) Estadual";"AC";"";"1987";"1991";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74183";"https://dadosabertos.camara.leg.br/api/v2/deputados/74183";"MAURI SÉRGIO";"Prefeito(a)";"AC";"";"1997";"2000";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74748";"https://dadosabertos.camara.leg.br/api/v2/deputados/74748";"MAURÍCIO CAMPOS";"Prefeito(a)";"MG";"";"1979";"1982";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"73551";"https://dadosabertos.camara.leg.br/api/v2/deputados/73551";"MAURICIO NAJAR";"Vereador(a)";"SP";"";"1960";"1964";"PDC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36783"
"73551";"https://dadosabertos.camara.leg.br/api/v2/deputados/73551";"MAURICIO NAJAR";"Vereador(a)";"SP";"";"1964";"1968";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"73551";"https://dadosabertos.camara.leg.br/api/v2/deputados/73551";"MAURICIO NAJAR";"Vereador(a)";"SP";"";"1968";"1973";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"73551";"https://dadosabertos.camara.leg.br/api/v2/deputados/73551";"MAURICIO NAJAR";"Deputado(a) Estadual";"SP";"";"1979";"1983";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"73551";"https://dadosabertos.camara.leg.br/api/v2/deputados/73551";"MAURICIO NAJAR";"Deputado(a) Estadual";"SP";"";"1983";"1987";"PDS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36785"
"73551";"https://dadosabertos.camara.leg.br/api/v2/deputados/73551";"MAURICIO NAJAR";"Deputado(a) Estadual";"SP";"";"1987";"1991";"PDS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36785"
"73551";"https://dadosabertos.camara.leg.br/api/v2/deputados/73551";"MAURICIO NAJAR";"Deputado(a) Estadual";"";"";"1995";"";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790"
"73880";"https://dadosabertos.camara.leg.br/api/v2/deputados/73880";"MILTON MENDES";"Vereador(a)";"SC";"";"1977";"1983";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"73880";"https://dadosabertos.camara.leg.br/api/v2/deputados/73880";"MILTON MENDES";"Deputado(a) Estadual";"SC";"";"1991";"1995";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844"
"74522";"https://dadosabertos.camara.leg.br/api/v2/deputados/74522";"MOACYR ANDRADE";"Deputado(a) Estadual";"AL";"";"1967";"1969";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"74522";"https://dadosabertos.camara.leg.br/api/v2/deputados/74522";"MOACYR ANDRADE";"Deputado(a) Estadual";"AL";"";"1983";"1987";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74522";"https://dadosabertos.camara.leg.br/api/v2/deputados/74522";"MOACYR ANDRADE";"Vice-Governador(a)";"AL";"";"1987";"1989";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74522";"https://dadosabertos.camara.leg.br/api/v2/deputados/74522";"MOACYR ANDRADE";"Governador(a)";"AL";"";"1989";"1991";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74067";"https://dadosabertos.camara.leg.br/api/v2/deputados/74067";"MURILO PINHEIRO";"Prefeito(a)";"AP";"";"1980";"1985";"PDS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36785"
"74636";"https://dadosabertos.camara.leg.br/api/v2/deputados/74636";"NESTOR DUARTE";"Deputado(a) Estadual";"BA";"";"1979";"1983";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"74636";"https://dadosabertos.camara.leg.br/api/v2/deputados/74636";"NESTOR DUARTE";"Deputado(a) Estadual";"BA";"";"1983";"1987";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"73881";"https://dadosabertos.camara.leg.br/api/v2/deputados/73881";"NEUTO DE CONTO";"Vereador(a)";"SC";"";"1973";"1977";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"73881";"https://dadosabertos.camara.leg.br/api/v2/deputados/73881";"NEUTO DE CONTO";"Vereador(a)";"SC";"";"1977";"1983";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"73881";"https://dadosabertos.camara.leg.br/api/v2/deputados/73881";"NEUTO DE CONTO";"Deputado(a) Estadual";"SC";"";"1983";"1987";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"73881";"https://dadosabertos.camara.leg.br/api/v2/deputados/73881";"NEUTO DE CONTO";"Senador(a)";"SC";"";"2007";"";"";""
"73908";"https://dadosabertos.camara.leg.br/api/v2/deputados/73908";"ODACIR KLEIN";"Prefeito(a)";"RS";"";"1969";"1973";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"73908";"https://dadosabertos.camara.leg.br/api/v2/deputados/73908";"ODACIR KLEIN";"Vereador(a)";"RS";"";"1973";"1975";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"74081";"https://dadosabertos.camara.leg.br/api/v2/deputados/74081";"OLÁVIO ROCHA";"Prefeito(a)";"PA";"";"1989";"1992";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"73670";"https://dadosabertos.camara.leg.br/api/v2/deputados/73670";"ORCINO GONÇALVES";"Deputado(a) Estadual";"GO";"";"1991";"1995";"PRN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36822"
"73762";"https://dadosabertos.camara.leg.br/api/v2/deputados/73762";"OSCAR GOLDONI";"Deputado(a) Estadual";"MS";"";"1991";"1993";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786"
"73762";"https://dadosabertos.camara.leg.br/api/v2/deputados/73762";"OSCAR GOLDONI";"Prefeito(a)";"MS";"";"1993";"1994";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786"
