"id";"uri";"nomParlamentar";"cargo";"siglaUf";"municipio";"anoInicio";"anoFim";"siglaPartidoEleicao";"uriPartidoEleicao"
"74204";"https://dadosabertos.camara.leg.br/api/v2/deputados/74204";"MAGNO BACELAR";"Vice-Prefeito(a)";"MA";"São Luís";"1989";"1992";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786"
"74204";"https://dadosabertos.camara.leg.br/api/v2/deputados/74204";"MAGNO BACELAR";"Senador(a)";"MA";"";"1991";"1995";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786"
"73791";"https://dadosabertos.camara.leg.br/api/v2/deputados/73791";"VILSON SANTINI";"Prefeito(a)";"PR";"";"1989";"1993";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"73791";"https://dadosabertos.camara.leg.br/api/v2/deputados/73791";"VILSON SANTINI";"Prefeito(a)";"PR";"";"1997";"2000";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"74852";"https://dadosabertos.camara.leg.br/api/v2/deputados/74852";"JOSÉ CARLOS LACERDA";"Vereador(a)";"RJ";"";"1970";"1971";"";""
"74852";"https://dadosabertos.camara.leg.br/api/v2/deputados/74852";"JOSÉ CARLOS LACERDA";"Vereador(a)";"RJ";"";"1972";"1975";"";""
"74852";"https://dadosabertos.camara.leg.br/api/v2/deputados/74852";"JOSÉ CARLOS LACERDA";"Vereador(a)";"RJ";"";"1976";"1978";"";""
"74852";"https://dadosabertos.camara.leg.br/api/v2/deputados/74852";"JOSÉ CARLOS LACERDA";"Deputado(a) Estadual";"RJ";"";"1979";"1982";"";""
"74852";"https://dadosabertos.camara.leg.br/api/v2/deputados/74852";"JOSÉ CARLOS LACERDA";"Vice-Prefeito(a)";"RJ";"";"1988";"1989";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790"
"74852";"https://dadosabertos.camara.leg.br/api/v2/deputados/74852";"JOSÉ CARLOS LACERDA";"Prefeito(a)";"RJ";"";"1989";"1992";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790"
"74832";"https://dadosabertos.camara.leg.br/api/v2/deputados/74832";"AMARAL NETTO";"Deputado(a) Estadual";"GB";"";"1960";"1962";"UDN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36854"
